Name,Team,PS,GP,MinpG,FG%,FT%,3M,3PT%,3PTpG,PpG,ORpG,DRpG,RpG,ApG,SpG,BpG,TOpG,PFpG,Tech,+/-
"jack, jarrett",bro,PG,32,32.1,0.391,0.893,31,0.304,1,12.8,0.3,4,4.2,7.4,1.1,0.2,2.9,2.4,4,-132
"jackson, reggie",det,PG,79,30.7,0.434,0.864,118,0.352,1.5,18.8,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,4,130
"james, lebron",cle,SF,76,35.7,0.52,0.731,87,0.309,1.1,25.3,1.5,6,7.4,6.7,1.4,0.6,3.3,1.9,3,618
"jefferson, al",cha,C,47,23.3,0.485,0.649,0,0,0,12,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,0,47
"jefferson, cory",pho,PF,8,6.5,0.409,0.667,0,0,0,2.8,0.8,1.3,2,0,0,0.1,0,1,0,-5
"jefferson, richar",cle,SF,74,17.9,0.458,0.667,66,0.382,0.9,5.5,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,1,-41
"jenkins, john",pho,SG,43,11,0.443,0.833,16,0.314,0.4,4.1,0.2,1.1,1.3,0.8,0.2,0,0.6,0.5,0,-66
"jennings, brandon",orl,PG,48,18.1,0.37,0.731,51,0.329,1.1,6.9,0.3,1.7,2,3.6,0.6,0.1,1.2,1.2,0,12
"jerebko, jonas",bos,PF,78,15.1,0.413,0.782,43,0.398,0.6,4.4,1,2.7,3.7,0.8,0.3,0.3,0.7,1.8,1,32
"johnson, amir",bos,PF,79,22.8,0.585,0.57,10,0.233,0.1,7.3,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,0,136
"johnson, chris",uta,SF,70,12.3,0.371,0.81,27,0.273,0.4,2.9,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,0,0
"johnson, james",tor,PF,57,16.2,0.475,0.574,20,0.303,0.4,5,0.5,1.7,2.2,1.2,0.5,0.6,0.9,1.5,0,2
"johnson, joe",mia,SF,81,33.4,0.439,0.831,120,0.383,1.5,12.2,0.6,3,3.6,3.9,0.8,0,2,1.8,1,-50
"johnson, orlando",nor,SG,7,14.6,0.257,0.75,2,0.182,0.3,3.7,0.6,1.6,2.1,0.3,0.4,0.4,0.6,1.3,0,-37
"johnson, stanley",det,SF,73,23.1,0.375,0.784,63,0.307,0.9,8.1,0.8,3.4,4.2,1.6,0.8,0.2,1.6,2.4,2,-140
"johnson, tyler",mia,SG,36,23.9,0.488,0.797,27,0.386,0.8,8.7,0.8,2.3,3.1,2.2,0.7,0.4,1.3,1.8,1,3
"johnson, wesley",lac,SG,80,20.8,0.404,0.652,103,0.333,1.3,6.9,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,0,135
"jokic, nikola",den,C,80,21.7,0.511,0.811,28,0.333,0.4,9.9,2.3,4.7,7,2.4,1,0.6,1.3,2.6,1,92
"jones, dahntay",cle,SG,1,42,0.429,0,1,0.5,1,13,1,4,5,2,1,2,0,6,0,-1
"jones, james",cle,SG,48,9.7,0.413,0.808,41,0.394,0.9,3.8,0.2,0.9,1,0.3,0.2,0.2,0.3,1,1,-24
"jones, terrence",hou,PF,50,20.9,0.452,0.664,25,0.316,0.5,8.7,1.2,3,4.2,0.8,0.5,0.8,1,1.7,3,-237
"jones, tyus",min,PG,37,15.6,0.359,0.718,16,0.302,0.4,4.2,0.2,1.1,1.3,2.9,0.8,0.1,0.9,0.9,0,-141
"jordan, deandre",lac,C,77,33.8,0.704,0.43,0,0,0,12.7,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,10,439
"joseph, cory",tor,PG,80,25.7,0.439,0.764,30,0.273,0.4,8.5,0.5,2.2,2.6,3.1,0.8,0.3,1.3,1.6,1,276
"kaman, chris",por,C,16,7.1,0.465,1,1,0.25,0.1,2.8,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,0,-31
"kaminsky, frank",cha,PF,81,21.1,0.41,0.73,68,0.337,0.8,7.5,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,0,-16
"kanter, enes",okl,C,82,21,0.576,0.797,10,0.476,0.1,12.7,3,5.1,8.1,0.4,0.3,0.4,1.4,2,2,124
"karasev, sergey",bro,SG,40,10.1,0.405,0.929,11,0.297,0.3,2.4,0.2,1.3,1.5,0.9,0.2,0.1,0.6,0.7,0,-6
"kaun, sasha",cle,C,24,4,0.529,0.455,0,0,0,1,0.5,0.6,1.1,0.1,0.2,0.2,0.3,0.5,0,-3
"kelly, ryan",lal,PF,36,13,0.369,0.685,5,0.135,0.1,4.2,0.6,2.8,3.4,0.6,0.4,0.3,0.5,1.1,0,-2
"kidd-gilchrist, michael",cha,SF,7,29.3,0.541,0.69,3,0.429,0.4,12.7,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,0,58
"kilpatrick, sean",bro,SG,30,20.5,0.456,0.896,39,0.342,1.3,11.5,0.4,1.5,1.9,1,0.4,0.1,1,1.2,0,-142
"knight, brandon",pho,PG,53,35.3,0.415,0.852,120,0.343,2.3,19.2,0.7,3.1,3.8,5,1.2,0.4,3.3,2.3,0,-208
"korver, kyle",atl,SG,80,30.1,0.436,0.833,158,0.397,2,9.2,0.2,3.1,3.2,2.1,0.8,0.4,1.2,2,0,426
"koufos, kosta",sac,C,78,19.1,0.53,0.548,0,0,0,6.8,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,2,-229
"lamb, jeremy",cha,SG,66,18.6,0.451,0.727,56,0.309,0.8,8.8,0.7,3.1,3.8,1.2,0.6,0.5,0.8,1.6,0,154
"landry, carl",phi,PF,36,15.8,0.556,0.736,6,0.462,0.2,9.8,1.4,2.7,4.1,0.9,0.3,0.3,0.6,1.9,0,-111
"larkin, shane",bro,PG,78,22.5,0.44,0.776,39,0.358,0.5,7.3,0.4,1.9,2.3,4.4,1.2,0.2,1.9,1.6,0,-349
"lauvergne, joffrey",den,PF,59,17.7,0.513,0.899,13,0.245,0.2,7.9,1.3,3.6,4.9,0.9,0.2,0.3,0.9,1.9,0,-223
"lavine, zach",min,PG,82,28,0.451,0.793,123,0.389,1.5,14,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,0,-295
"lawson, ty",ind,PG,66,21.4,0.393,0.686,36,0.333,0.5,5.7,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,0,-157
"lee, courtney",nor,SG,79,29.6,0.454,0.839,82,0.378,1,9.6,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,1,150
"lee, david",dal,PF,55,16.5,0.531,0.763,0,0,0,7.8,1.8,3.7,5.5,1.5,0.4,0.5,1.2,2.1,0,-82
"len, alex",pho,C,78,23.3,0.424,0.728,1,0.143,0,9,2.3,5.3,7.6,1.2,0.5,0.8,1.9,2.9,1,-289
"leonard, kawhi",san,SF,72,33.1,0.506,0.874,129,0.443,1.8,21.2,1.3,5.5,6.9,2.6,1.8,1,1.5,1.8,0,651
"leonard, meyers",por,C,61,21.8,0.447,0.761,86,0.377,1.4,8.3,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3,2,107
"leuer, jon",pho,PF,67,18.8,0.481,0.762,42,0.382,0.6,8.5,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,0,-66
"lillard, damian",por,PG,75,35.6,0.419,0.892,229,0.375,3.1,25.1,0.6,3.4,4,6.8,0.9,0.4,3.2,2.2,1,78
"lin, jeremy",cha,PG,78,26.2,0.412,0.815,76,0.336,1,11.7,0.5,2.7,3.2,3,0.8,0.5,1.9,2.1,1,86
"livingston, shaun",gsw,PG,78,19.4,0.536,0.86,2,0.167,0,6.3,0.5,1.6,2.2,3.1,0.7,0.3,1,1.8,2,213
"looney, kevon",gsw,SF,5,4.2,0.571,0,1,0.5,0.2,1.8,0.8,1.2,2,0,0,0,0.2,0.4,0,-22
"lopez, brook",bro,C,73,33.7,0.511,0.787,2,0.143,0,20.6,2.8,5.1,7.9,2,0.8,1.7,2.4,2.9,0,-116
"lopez, robin",nyk,C,82,27,0.539,0.795,0,0,0,10.3,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,3,-95
"love, kevin",cle,PF,77,31.5,0.418,0.822,158,0.36,2.1,16,1.9,7.9,9.9,2.4,0.8,0.5,1.8,2.1,0,429
"lowry, kyle",tor,PG,77,37.1,0.427,0.811,212,0.388,2.8,21.2,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,9,372
"lyles, trey",uta,PF,80,17.3,0.438,0.695,49,0.386,0.6,6.1,0.7,3,3.7,0.8,0.3,0.2,0.8,1.4,0,-35
"mack, shelvin",uta,PG,52,20.5,0.439,0.738,39,0.315,0.8,8.6,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,0,93
"mahinmi, ian",ind,C,71,25.6,0.589,0.587,0,0,0,9.3,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,0,112
"marble, devyn",orl,SF,28,8.9,0.296,0.417,8,0.25,0.3,2.1,0.2,1.1,1.4,0.4,0.5,0,0.3,0.9,0,-13
"marjanovic, boban",san,C,54,9.4,0.603,0.763,0,0,0,5.5,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1,1,58
